β	b	b		0	954	0	a-5b	letter of the Greek alphabet; also used as the numeral 2 in the superscriptions of some Greek manuscripts	
Βάαλ, ὁ	Baal	Baal		896	955	1	n-3g(2)	Baal, master, owner, lord	Baal, (Hebrew for Master) pr. name, indecl., Rom. 11:4*
Βαβυλών, -ῶνος, ἡ	Babylōn	Babylon		897	956	12	n-3f(1a)	Babylon, gate of god[s]	Babylon, 1 Pet. 5:13
βαθμός, οῦ, ὁ	bathmos	bathmos		898	957	1	n-2a	standing, rank	pr. a step, stair; met. grade of dignity, degree, rank, standing, 1 Tim. 3:13*
βάθος, ους, τό	bathos	bathos		899	958	8	n-3d(2b)	depth, deep thing; extreme	depth;, τὸ βάθος, deep water, Lk. 5:4; Mt. 13:5; met. fullness, abundance, immensity, Rom. 11:33; an extreme degree, 2 Cor. 8:2; pl. profundities, deep-laid plans, 1 Cor. 2:10; Rev. 2:24
βαθύνω	bathunō	bathuno	-, -, -, -, -	900	959	1	v-1c(2)	to go down deep, dig deep	to deepen, excavate, Lk. 6:48*
βαθύς, εῖα, ύ	bathus	bathus		901	960	4	a-2b	deep; (as a time of day) early	deep, Jn. 4:11; met. deep, profound, Acts 20:9; Rev. 2:24; ὄρθρου βαθέος, lit. at deep morning twilight, at the earliest dawn, Lk. 24:1*
βάι&ον, ου, τό	baion	baion		902	961	1	n-2c	(palm) branch	a palm branch, Jn. 12:13*
Βαλαάμ, ὁ	Balaam	Balaam		903	962	3	n-3g(2)	Balaam, [poss.] Baal [lord] of the people} or {the clan brings forth	Balaam, pr. name, indecl.
Βαλάκ, ὁ	Balak	Balak		904	963	1	n-3g(2)	Balak, devastator	Balak, pr. name, indecl., Rev. 2:14*
βαλλάντιον, ου, τό	ballantion	ballantion		905	964	4	n-2c	purse, money-bag	also spelled βαλάντιον, a bag, purse, Lk. 10:4; 12:33; 22:35, 36*
